Ticker,Date,Close,Resistance,Resistance_Distance_%,Close_Position,Daily_Range_%,Range_Ratio,Volume_Ratio,Volume_Surge_10,Momentum_5d_%,Momentum_10d_%,Momentum_20d_%,MA_Ratio,Distance_MA10_%,Distance_MA30_%,ATR_Pct,Volatility_10d,Price_Range_10d_%,RSI_14,Breakout_Pct,Label,Days_Above_5d,Avg_Close_5d,Return_5d_%,Return_30d_%,Max_Gain_30d_%,Max_Drawdown_30d_%,Pct_Days_Above_30d,Continued_Up_30d
AAPL,2000-03-01,0.9744,0.9085,7.25,0.871,10.41,1.93,2.4,2.99,12.1,9.51,29.99,1.035,14.03,18.03,5.3,0.0281,10.17,65.81,7.25,breakout,5,0.928,-6.38,-16.16,10.65,-16.16,83.3,False
AAPL,2000-03-21,1.009,0.9875,2.18,0.88,11.21,2.07,1.47,1.67,18.11,9.82,18.56,1.028,11.13,14.27,5.43,0.0324,10.33,53.84,2.18,breakout,5,1.0511,3.1,-14.73,6.86,-19.04,26.7,False
AAPL,2000-03-22,1.0781,1.0225,5.44,0.985,8.89,1.47,1.58,1.68,24.03,18.19,24.03,1.032,17.58,21.39,5.24,0.0439,15.78,68.13,5.44,breakout,4,1.0388,-5.72,-23.23,-1.99,-24.23,13.3,False
AAPL,2001-01-18,0.2795,0.2767,1.01,0.944,6.02,0.74,2.49,2.08,12.83,14.12,31.14,1.089,10.41,20.19,6.95,0.0522,21.74,71.83,1.01,breakout,5,0.2982,6.69,3.01,16.39,-2.34,93.3,True
AAPL,2001-01-19,0.2916,0.2804,4.0,0.929,4.49,0.61,1.49,1.23,8.33,14.29,39.29,1.099,13.66,24.88,6.75,0.0543,14.42,74.19,4.0,breakout,5,0.2983,0.32,4.49,11.54,-6.41,93.3,True
AAPL,2001-01-23,0.3066,0.2935,4.46,0.767,9.15,1.38,1.76,1.37,19.71,23.77,45.78,1.115,15.9,29.24,7.08,0.0519,17.99,75.28,4.46,breakout,4,0.3094,6.1,3.66,6.1,-10.98,53.3,True
AAPL,2001-04-19,0.3846,0.3601,6.81,0.986,8.36,0.99,3.85,3.84,17.98,31.9,27.8,1.01,21.1,22.3,7.45,0.0567,20.72,61.05,6.81,breakout,4,0.3671,-4.0,-18.78,3.38,-23.09,43.3,False
AAPL,2001-11-26,0.3196,0.3021,5.79,0.892,7.81,1.99,1.62,2.2,12.65,14.22,14.46,1.035,10.21,14.06,4.24,0.024,10.48,68.31,5.79,breakout,5,0.312,-1.5,1.31,11.18,-4.59,100.0,True
AAPL,2001-12-04,0.335,0.3223,3.94,0.913,8.21,1.98,1.37,1.5,6.67,12.0,17.46,1.058,9.42,15.77,4.13,0.0353,11.56,69.8,3.94,breakout,5,0.3392,-2.77,0.36,6.07,-8.97,56.7,True
AAPL,2001-12-05,0.3553,0.3374,5.32,0.855,7.83,1.77,2.05,2.2,15.73,21.66,21.41,1.064,14.72,22.09,4.23,0.0367,13.89,73.66,5.32,fakeout,1,0.3324,-9.55,-6.69,-0.29,-14.18,20.0,False
AAPL,2002-01-31,0.3697,0.361,2.4,0.984,2.51,0.67,1.4,1.24,6.51,18.96,6.09,1.026,8.82,11.65,3.72,0.0377,14.72,73.55,2.4,breakout,5,0.3714,-1.7,0.93,2.95,-13.03,56.7,True
AAPL,2002-02-04,0.3791,0.3733,1.56,0.871,5.21,1.52,1.49,1.53,8.94,14.34,7.01,1.041,8.78,13.22,3.69,0.0251,13.29,75.06,1.56,fakeout,2,0.3692,-1.46,-1.97,0.39,-15.19,13.3,False
AAPL,2002-04-16,0.3849,0.3784,1.74,0.713,3.38,1.03,2.33,2.24,6.81,6.94,4.04,1.008,4.76,5.56,3.22,0.0207,6.22,71.03,1.74,fakeout,2,0.3747,-5.79,-6.84,1.44,-12.7,10.0,False
AAPL,2003-05-06,0.2617,0.2524,3.67,0.778,10.29,2.44,4.12,3.15,24.47,29.53,20.77,1.001,24.18,24.33,4.01,0.0356,22.17,90.22,3.67,breakout,5,0.2727,6.69,9.26,9.26,-4.06,96.7,True
AAPL,2003-07-17,0.3126,0.3066,1.95,0.939,3.92,1.18,2.93,3.46,6.74,8.46,9.31,1.051,5.89,11.29,3.35,0.0201,7.27,65.39,1.95,breakout,5,0.3098,-1.87,6.17,6.17,-6.08,60.0,True
AAPL,2004-01-05,0.3315,0.3275,1.23,0.773,4.38,1.74,1.6,1.57,6.69,10.63,4.82,0.994,7.79,7.16,2.77,0.0132,11.28,65.09,1.23,breakout,5,0.3433,7.04,4.92,9.16,-1.71,96.7,True
AAPL,2004-03-04,0.3763,0.3634,3.54,0.954,5.21,1.89,2.59,2.36,9.2,11.97,15.47,1.01,8.95,9.99,2.78,0.0192,9.58,63.12,3.54,breakout,5,0.4028,7.91,15.98,16.45,0.52,100.0,True
AAPL,2004-03-05,0.3999,0.3772,6.03,0.71,9.69,3.56,5.73,4.91,11.79,19.38,19.27,1.018,14.45,16.47,2.97,0.02,12.45,79.68,6.03,breakout,5,0.4052,3.07,6.02,9.57,-5.42,100.0,True
AAPL,2004-04-15,0.4382,0.4243,3.28,0.803,4.85,1.62,3.75,5.14,7.29,8.36,11.87,1.026,6.84,9.61,3.31,0.0227,7.03,63.49,3.28,fakeout,1,0.421,-5.19,-3.86,-0.41,-12.01,10.0,False
AAPL,2004-06-08,0.4539,0.4483,1.23,0.852,2.01,0.67,1.48,1.54,8.16,11.01,15.49,1.042,6.69,11.23,2.7,0.0199,9.46,75.66,1.23,breakout,5,0.4621,7.87,4.38,11.04,-3.99,90.0,True
AAPL,2004-06-16,0.4896,0.4657,5.14,0.792,8.52,2.89,3.22,2.88,7.87,16.68,22.9,1.06,10.58,17.26,3.03,0.0192,10.78,77.72,5.14,breakout,5,0.4928,2.93,-0.31,2.93,-11.0,70.0,False
AAPL,2004-08-26,0.5183,0.5029,3.06,0.787,7.04,2.32,2.46,2.72,12.86,14.13,6.19,0.991,11.02,10.02,3.18,0.0215,8.28,76.07,3.06,breakout,5,0.5219,2.89,12.69,17.25,-1.56,100.0,True
AAPL,2004-09-01,0.5363,0.5261,1.93,0.928,5.02,1.48,1.47,1.24,8.5,12.98,12.8,1.029,9.68,12.84,3.15,0.0241,13.44,81.37,1.93,breakout,5,0.5345,-0.45,25.43,25.43,-1.84,100.0,True
AAPL,2004-09-17,0.5554,0.5497,1.03,0.755,2.64,1.0,1.36,1.47,3.54,4.15,20.94,1.075,3.98,11.77,2.71,0.0156,5.33,69.51,1.03,breakout,5,0.5599,0.4,41.09,41.09,-0.59,100.0,True
